名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,緯度,経度,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL
羽咋市デイサービスセンター,石川県羽咋市鹿島路町1788番地,石川県,羽咋市,36.93547,136.81247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市老人福祉センター,石川県羽咋市鶴多町亀田17番地,石川県,羽咋市,36.89854,136.79379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋すこやかセンター,石川県羽咋市鶴多町亀田17番地,石川県,羽咋市,36.89854,136.79379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市農業参入支援センター,石川県羽咋市千里浜町ワ65番地,石川県,羽咋市,36.88608,136.77252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
はくい地域産業センター,石川県羽咋市飯山町ヲ32,石川県,羽咋市,36.90289,136.82919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
御坊山定住促進住宅,石川県羽咋市御坊山町12番地1,石川県,羽咋市,36.89036,136.78351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
島出定住促進住宅,石川県羽咋市島出町上2番地35,石川県,羽咋市,36.90092,136.76995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市駅東駐車場管理棟,石川県羽咋市東川原町チ146-1,石川県,羽咋市,36.89632,136.78423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道の駅のと千里浜,石川県羽咋市千里浜町タ1番地62,石川県,羽咋市,36.88612,136.76864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
輪島市町野多目的集会施設,石川県輪島市町野町粟蔵川原田22番地1,石川県,輪島市,37.423364,137.08813,0768-32-0001,,machino@city.wajima.lg.jp,,,928-0215,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,町野支所、町野公民館、輪島市立図書館町野分館が入っている施設,有,無,無,無,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,無,
輪島市光浦多目的集会施設,石川県輪島市光浦町29字19番地2,石川県,輪島市,37.405725,136.871504,,,,,,928-0067,2.00002E+12,輪島市,利用休止中,,,利用希望者は、輪島市教育委員会生涯学習課まで,和室2室;調理実習室,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,
輪島市剱地多目的集会施設,石川県輪島市門前町剱地ツの60番地,石川県,輪島市,37.231765,136.708716,0768-45-1833,,ko-tsurugiji@po.city.wajima.ishikawa.jp,,,927-2342,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,剱地公民館が入っている施設,無,無,無,無,無,無,無,有,無,有,無,無,無,無,有,無,無,
輪島市大屋コミュニティセンター,石川県輪島市小伊勢町丸垣内22番地1,石川県,輪島市,37.381135,136.885962,0768-22-2236,,ko-ooya@po.city.wajima.ishikawa.jp,,,928-0032,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:30,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,大屋公民館が入っている施設,有,無,有,有,スロープ有,有,無,有,無,有,有,無,無,無,有,無,無,
輪島市西保コミュニティセンター,石川県輪島市大沢町ホサソ201番地3,石川県,輪島市,37.375175,136.803076,0768-36-2001,,nisiho@city.wajima.lg.jp,,,928-0054,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,西保出張所、西保公民館、西保診療所が入っている施設,有,無,無,有,スロープ有,有,無,有,無,無,無,無,無,有,有,無,有,
輪島市港コミュニティセンター,石川県輪島市輪島崎町1部211番地4,石川県,輪島市,37.403289,136.89992,0768-22-1391,,ko-minato@po.city.wajima.ishikawa.jp,,,928-0071,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,港公民館が入っている施設,有,無,無,有,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,有,
輪島市黒島コミュニティセンター,石川県輪島市門前町黒島町高池45番地,石川県,輪島市,37.278903,136.735633,0768-43-1062,,ko-kuroshima@po.city.wajima.ishikawa.jp,,,927-2165,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,黒島公民館が入っている施設,有,無,無,無,スロープ有,無,無,有,無,有,無,無,無,無,有,無,無,
輪島市諸岡コミュニティセンター,石川県輪島市門前町道下7の175番地,石川県,輪島市,37.288403,136.745259,0768-43-1061,,ko-morooka@po.city.wajima.ishikawa.jp,,,927-2164,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,諸岡公民館が入っている施設,有,無,無,有,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,無,
輪島市七浦コミュニティセンター,石川県輪島市門前町鵜山12の50番地,石川県,輪島市,37.345281,136.752807,0768-46-2375,,ko-shitsura@po.city.wajima.ishikawa.jp,,,927-2281,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,月曜日は17:00まで;12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,七浦公民館が入っている施設,有,無,無,無,無,無,無,有,無,有,無,無,無,無,有,無,有,
輪島市三井基幹集落センター,石川県輪島市三井町長沢2字12番地1,石川県,輪島市,37.315386,136.902599,0768-26-1211,,mii@city.wajima.lg.jp,,,929-2379,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:15以降及び土・日・祝日は施錠,三井出張所、三井公民館が入っている施設,有,無,無,無,スロープ有,無,無,有,無,無,無,無,無,無,有,無,有,
輪島市七浦基幹集落センター,石川県輪島市門前町餅田9の16番地2,石川県,輪島市,37.346882,136.755631,,,,,,927-2277,2.00002E+12,輪島市,通常は施錠、必要時のみ開錠。,,,餅田地区住民が管理（通常時は閉館）,餅田地区住民以外の方で施設を利用したい方は、輪島市地域振興課へ連絡してください,無,無,無,無,無,無,無,有,無,無,無,無,無,無,有,無,無,
輪島市農村環境改善センター,石川県輪島市里町32字36番地,石川県,輪島市,37.430261,137.034125,0768-34-1001,,najimi@city.wajima.lg.jp,,,928-0246,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:30,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,南志見出張所、南志見公民館が入っている施設,有,有,無,有,スロープ有,無,読上げ支援有,有,無,有,有,無,無,無,有,無,有,
輪島市立中央公民館,石川県輪島市二ツ屋町2字29番地,石川県,輪島市,37.390277,136.899122,0768-23-1176,,shougai@city.wajima.lg.jp,,,928-0001,2.00002E+12,輪島市,月・火・水・木・金曜日,8:30,17:15,12/29～1/3は休館;平日の17:15以降及び土・日・祝日は施錠,輪島市教育委員会生涯学習課が中央公民館を兼ねており、各公民館を束ねる立場にあります,有,有,無,有,エレベータ有,無,無,有,無,有,有,有,無,無,有,無,有,
輪島市立輪島公民館,石川県輪島市河井町20部1番地1,石川県,輪島市,37.388742,136.905952,0768-22-2226,,ko-wajima@po.city.wajima.ishikawa.jp,,,928-0001,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:30,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,河井地区（河井町;二勢町;宮川町;マリンタウン）住民の公民館,有,有,無,有(故障中),スロープ有;エレベータ有,有,無,有,無,有,有,無,無,無,無,無,有,
輪島市立大屋公民館,石川県輪島市小伊勢町丸垣内22番地1,石川県,輪島市,37.381135,136.885962,0768-22-2236,,ko-ooya@po.city.wajima.ishikawa.jp,,,928-0032,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:30,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,大屋地区（小伊勢町;稲屋町;長井町;房田町;山本町;中段町;水守町;釜屋谷町;堀町;二ツ屋町;宅田町;下黒川町;上黒川町;二俣町;縄又町;別所谷町;滝又町;空熊町;光浦町;美谷町;鵜入町;気勝平町）住民の公民館,有,無,有,有,スロープ有,有,無,有,無,有,有,無,無,無,有,無,無,
輪島市立河原田公民館,石川県輪島市西脇町60番地1,石川県,輪島市,37.357179,136.908381,0768-22-2235,,ko-kawarada@po.city.wajima.ishikawa.jp,,,928-0026,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,河原田地区（山岸町;杉平町;横地町;石休場町;東中尾町;西脇町;北谷町;山ノ上町;市ノ瀬町;熊野町;打越町;方南町）住民の公民館,有,無,無,有,スロープ有,無,無,有,無,有,有,無,無,無,有,無,有,
輪島市立鵠巣公民館,石川県輪島市大野町菰沢35番地,石川県,輪島市,37.397565,136.933569,0768-22-2237,,ko-kounosu@po.city.wajima.ishikawa.jp,,,928-0005,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,鵠巣地区（塚田町;久手川町;稲舟町;大野町;惣領町;深見町;城兼町）住民の公民館,有,無,無,有,スロープ有,有,無,有,無,有,無,無,無,無,有,無,有,
輪島市立西保公民館,石川県輪島市大沢町ホサソ201番地3,石川県,輪島市,37.375175,136.803076,0768-36-2001,,ko-nishiho@po.city.wajima.ishikawa.jp,,,928-0054,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,西保地区（上山町;西二又町;上大沢町;大沢町;赤崎町;下山町;小池町）住民の公民館,有,無,無,有,スロープ有,有,無,有,無,無,無,無,無,有,有,無,有,
輪島市立三井公民館,石川県輪島市三井町長沢2字12番地1,石川県,輪島市,37.315386,136.902599,0768-26-1211,,ko-mii@po.city.wajima.ishikawa.jp,,,929-2379,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:15以降及び土・日・祝日は施錠,三井地区（三井町全域;大和町）住民の公民館,有,無,無,無,スロープ有,無,無,有,無,無,無,無,無,無,有,無,有,
輪島市立南志見公民館,石川県輪島市里町32字36番地,石川県,輪島市,37.430261,137.034125,0768-34-1001,,ko-najimi@po.city.wajima.ishikawa.jp,,,928-0246,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:30,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,南志見地区（白米町;野田町;名舟町;尊利地町;小田屋町;里町;渋田町;西院内町;東印内町;忍町;東山町;小西山町;大西山町）住民の公民館,有,有,無,有,スロープ有,無,読上げ支援有,有,無,有,有,無,無,無,有,無,有,
輪島市立町野公民館,石川県輪島市町野町粟蔵川原田22番地1,石川県,輪島市,37.423364,137.08813,0768-32-0001,,ko-macino@po.city.wajima.ishikawa.jp,,,928-0215,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,8:30,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,町野地区（町野町全域）住民の公民館,有,無,無,無,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,無,
輪島市立港公民館,石川県輪島市輪島崎町1部211番地4,石川県,輪島市,37.403289,136.89992,0768-22-1391,,ko-minato@po.city.wajima.ishikawa.jp,,,928-0071,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,輪島崎地区（輪島崎町）住民の公民館,有,無,無,有,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,有,
輪島市立鳳至公民館,石川県輪島市鳳至町石浦町83番地1,石川県,輪島市,37.398486,136.896899,0768-22-7620,,ko-fugeshi@po.city.wajima.ishikawa.jp,,,928-0076,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:30,月曜日は17:00まで;12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,鳳至地区（鳳至町全域;平成町;上野台;堀町の一部［南町;夕陽ケ丘］）住民の公民館,有,有,無,有,スロープ有,無,無,有,無,有,無,無,無,無,有,無,有,
輪島市立剱地公民館,石川県輪島市門前町剱地ツの60番地,石川県,輪島市,37.231765,136.708716,0768-45-1833,,ko-tsurugiji@po.city.wajima.ishikawa.jp,,,927-2342,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施,剱地地区（門前町剱地;大泊;腰細;赤神;馬場;上代;黒岩;入山;渡瀬;飯川谷;切挟;清沢;滝町;馬渡;久川;窕;神明原;木原月;大釜）住民の公民館,無,無,無,無,無,無,無,有,無,有,無,無,無,無,有,無,無,
輪島市立阿岸公民館,石川県輪島市門前町南ナの17番地,石川県,輪島市,37.255435,136.733154,0768-43-1063,,ko-agishi@po.city.wajima.ishikawa.jp,,,927-2365,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施,阿岸地区（門前町藤浜;池田;南;是清;北川;千代;中田;鍛冶屋;新町分;椎木;小山;大切;白禿;江崎;二又;山是清）住民の公民館,有,無,無,有,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,有,
輪島市立黒島公民館,石川県輪島市門前町黒島町高池45番地,石川県,輪島市,37.278903,136.735633,0768-43-1062,,ko-kuroshima@po.city.wajima.ishikawa.jp,,,927-2165,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,21:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,黒島地区（門前町黒島町）住民の公民館,有,無,無,無,スロープ有,無,無,有,無,有,無,無,無,無,有,無,無,
輪島市立諸岡公民館,石川県輪島市門前町道下7の175番地,石川県,輪島市,37.288403,136.745259,0768-43-1061,,ko-morooka@po.city.wajima.ishikawa.jp,,,927-2164,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,諸岡地区（門前町道下;鹿磯;深見;六郎木;勝田;大生）住民の公民館,有,無,無,有,スロープ有,無,読上げ支援有,有,無,有,無,無,無,無,有,無,無,
輪島市立門前公民館,石川県輪島市門前町走出6の92番地2,石川県,輪島市,37.287798,136.767771,0768-42-0916,,ko-monzen@po.city.wajima.ishikawa.jp,,,927-2151,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,門前地区（門前町門前;清水;走出;和田;高根尾;本市;栃木;深田;広瀬;日野尾;舘;広岡;鬼屋;西中尾;小滝;猿橋;上河内;小石;風原）住民の公民館,有,有,無,無,スロープ有;エレベータ有,有,無,有,無,無,有,無,無,有,有,無,有,
輪島市立本郷公民館,石川県輪島市門前町二又川4の4番地1,石川県,輪島市,37.284836,136.826646,0768-42-0636,,ko-hongou@po.city.wajima.ishikawa.jp,,,927-2127,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3及び館内整理日は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,本郷地区（門前町貝吹;原;長井坂;荒屋;定広;地原;東大町;別所;堀腰;平;二又川;鑓川;内保;本内;谷口;能納屋;俊兼;四位;滝上;百成）住民の公民館,有,無,無,有,スロープ有,無,無,有,無,有,無,無,無,無,有,無,有,
輪島市立浦上公民館,石川県輪島市門前町浦上8の58番地,石川県,輪島市,37.305769,136.797614,0768-42-0558,,ko-urakami@po.city.wajima.ishikawa.jp,,,927-2102,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,浦上地区（門前町西円山;宮古場;浦上;田村;山辺;浅生田;安代原;中野屋）住民の公民館,有,無,無,有,スロープ有,無,無,有,無,有,無,無,無,無,有,無,無,
輪島市立七浦公民館,石川県輪島市門前町鵜山12の50番地,石川県,輪島市,37.345281,136.752807,0768-46-2375,,ko-shitsura@po.city.wajima.ishikawa.jp,,,927-2281,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,22:00,月曜日は17:00まで;12/29～1/3は休館;施設利用者がいない場合は、平日の17:00以降及び土・日・祝日は施錠,七浦地区（門前町皆月;五十洲;吉浦;矢徳;中谷内;大滝;鵜山;餅田;百成大角間;井守上坂;薄野;暮坂;樽見）住民の公民館,有,無,無,無,無,無,無,有,無,有,無,無,無,無,有,無,有,
馬場崎交流サロン 語馬処,石川県輪島市河井町3部171番地3,石川県,輪島市,37.392259,136.905166,0768-23-0212,,,,,928-0001,2.00002E+12,輪島市,月・火・水・木・金・土・日曜日、祝日,9:00,17:00,1階は9:00～17:00、2階は9:00～22:00（※要予約）;休館日はお盆、年末年始,市民と観光客等の相互交流及び情報交換を目的とした「交流サロン」,有,無,無,有,スロープ有,無,無,有,無,有,無,無,無,有,有,無,有,https://www.city.wajima.ishikawa.jp/docs/2021061100018/
